run_id,research_question,method,seed,model_id,model_family,model_params_m,timestamp_start,timestamp_end,status,config_file,metrics_file,promptset_version,dataset_tier,notes
gpt2_pilot_baseline_s0,RQ0,baseline,0,gpt2,gpt2,124,2026-01-30T18:58:51.338465Z,2026-01-30T22:01:17.351952Z,completed,configs/methods/baseline.yaml,experiments/runs/gpt2_pilot_baseline_s0/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Infrastructure pilot - validate pipeline
gpt2_rq1_baseline_s42,RQ1,baseline,42,gpt2,gpt2,124,2026-02-01T19:39:46.895584Z,2026-02-01T23:00:03.626137Z,completed,configs/methods/baseline.yaml,experiments/runs/gpt2_rq1_baseline_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Baseline forgetting measurement
gpt2_rq1_baseline_s123,RQ1,baseline,123,gpt2,gpt2,124,2026-02-02T00:02:43.058180Z,2026-02-02T03:13:05.455322Z,completed,configs/methods/baseline.yaml,experiments/runs/gpt2_rq1_baseline_s123/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Baseline forgetting - second seed
gpt2_rq2_replay25_s42,RQ2,replay25,42,gpt2,gpt2,124,2026-02-06T22:37:03.465633Z,2026-02-07T01:36:38.160915Z,completed,configs/methods/replay25.yaml,experiments/runs/gpt2_rq2_replay25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Replay 25% mitigation
gpt2_rq2_mer25_s42,RQ2,mer25,42,gpt2,gpt2,124,2026-02-07T01:50:14.198397Z,2026-02-07T04:50:31.947827Z,completed,configs/methods/mer25.yaml,experiments/runs/gpt2_rq2_mer25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),MER-lite (replay + Reptile)
gpt2_rq2_ewc_s42,RQ2,ewc,42,gpt2,gpt2,124,2026-02-07T15:13:29.695153Z,2026-02-07T18:23:01.458721Z,completed,configs/methods/ewc.yaml,experiments/runs/gpt2_rq2_ewc_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),EWC (Fisher fix) - re-run with sum reduction
gpt2_smoke_baseline_s1,SMOKE,baseline,1,gpt2,gpt2,124,2026-02-12T03:59:58.500080Z,2026-02-12T04:02:03.779036Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/gpt2_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
gpt2_smoke_replay25_s1,SMOKE,replay25,1,gpt2,gpt2,124,2026-02-12T04:03:31.490282Z,2026-02-12T04:05:36.982540Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/gpt2_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
gpt2_smoke_ewc_s1,SMOKE,ewc,1,gpt2,gpt2,124,2026-02-12T04:05:50.212048Z,2026-02-12T04:08:11.104079Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/gpt2_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
gpt2_smoke_mer25_s1,SMOKE,mer25,1,gpt2,gpt2,124,2026-02-12T04:11:56.609477Z,2026-02-12T04:14:02.202264Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/gpt2_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
qwen3_smoke_baseline_s1,SMOKE,baseline,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T04:16:09.643506Z,2026-02-12T04:24:30.357900Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/qwen3_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 re-run with ppl_batch_size=1
qwen3_smoke_replay25_s1,SMOKE,replay25,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T04:26:12.966655Z,2026-02-12T04:34:45.074931Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/qwen3_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 new run with ppl_batch_size=1
qwen3_smoke_ewc_s1,SMOKE,ewc,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T04:49:50.594278Z,2026-02-12T05:14:17.139991Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/qwen3_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 new run; Fisher OOM fixed with streaming stats
qwen3_smoke_mer25_s1,SMOKE,mer25,1,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T05:14:49.675817Z,2026-02-12T05:23:16.518362Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/qwen3_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),v2.0 new run with ppl_batch_size=1
gemma3_smoke_baseline_s1,SMOKE,baseline,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T02:16:11.260620Z,2026-02-12T02:29:52.983501Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/gemma3_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test (ppl_batch_size=1)
llama3_smoke_baseline_s1,SMOKE,baseline,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T02:41:09.493457Z,2026-02-12T02:51:52.384064Z,completed,configs/smoke/baseline_smoke.yaml,experiments/runs/llama3_smoke_baseline_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test (ppl_batch_size=1)
gemma3_smoke_replay25_s1,SMOKE,replay25,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T06:39:52.684103Z,2026-02-12T06:53:41.593467Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/gemma3_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
gemma3_smoke_ewc_s1,SMOKE,ewc,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T07:00:02.560326Z,2026-02-12T09:34:44.887438Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/gemma3_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),EWC pre-optimization (old code); 2.58h total
gemma3_smoke_mer25_s1,SMOKE,mer25,1,google/gemma-3-1b-pt,gemma3,1000,2026-02-12T09:48:46.468529Z,2026-02-12T10:03:14.092281Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/gemma3_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
llama3_smoke_replay25_s1,SMOKE,replay25,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T10:13:45.791546Z,2026-02-12T10:23:59.684354Z,completed,configs/smoke/replay25_smoke.yaml,experiments/runs/llama3_smoke_replay25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
llama3_smoke_ewc_s1,SMOKE,ewc,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T10:29:30.099510Z,2026-02-12T11:35:36.320286Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/llama3_smoke_ewc_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),EWC with optimized penalty (new code); 1.1h total
llama3_smoke_mer25_s1,SMOKE,mer25,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-12T15:29:22.504181Z,2026-02-12T15:39:47.273181Z,completed,configs/smoke/mer25_smoke.yaml,experiments/runs/llama3_smoke_mer25_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),Multi-model smoke test
qwen3_rq1_baseline_s42,RQ1,baseline,42,Qwen/Qwen3-0.6B,qwen3,600,2026-02-12T19:45:43.190655Z,2026-02-13T06:07:16.431874Z,completed,configs/methods/baseline.yaml,experiments/runs/qwen3_rq1_baseline_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
qwen3_rq1_baseline_s123,RQ1,baseline,123,Qwen/Qwen3-0.6B,qwen3,600,2026-02-13T06:18:21.822144Z,2026-02-13T15:01:59.151983Z,completed,configs/methods/baseline.yaml,experiments/runs/qwen3_rq1_baseline_s123/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
qwen3_rq2_replay25_s42,RQ2,replay25,42,Qwen/Qwen3-0.6B,qwen3,600,2026-03-09T12:05:17.342310Z,2026-03-09T22:43:26.818700Z,completed,configs/methods/replay25.yaml,experiments/runs/qwen3_rq2_replay25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
qwen3_rq2_mer25_s42,RQ2,mer25,42,Qwen/Qwen3-0.6B,qwen3,600,2026-03-13T01:02:05.017791Z,2026-03-13T10:17:35.946286Z,completed,configs/methods/mer25.yaml,experiments/runs/qwen3_rq2_mer25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
qwen3_rq2_ewc_s42,RQ2,ewc,42,Qwen/Qwen3-0.6B,qwen3,600,2026-03-13T10:23:47.911672Z,2026-03-13T19:06:09.115000Z,completed,configs/methods/ewc.yaml,experiments/runs/qwen3_rq2_ewc_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
gemma3_rq1_baseline_s42,RQ1,baseline,42,google/gemma-3-1b-pt,gemma3,1000,2026-02-13T16:40:19.581779Z,2026-02-14T09:42:10.484415Z,completed,configs/methods/baseline.yaml,experiments/runs/gemma3_rq1_baseline_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
gemma3_rq1_baseline_s123,RQ1,baseline,123,google/gemma-3-1b-pt,gemma3,1000,2026-02-27T07:05:32.832435Z,2026-02-28T05:22:34.143421Z,completed,configs/methods/baseline.yaml,experiments/runs/gemma3_rq1_baseline_s123/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
gemma3_rq2_replay25_s42,RQ2,replay25,42,google/gemma-3-1b-pt,gemma3,1000,2026-03-14T01:54:23.659565Z,2026-03-14T17:53:22.658222Z,completed,configs/methods/replay25.yaml,experiments/runs/gemma3_rq2_replay25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
gemma3_rq2_mer25_s42,RQ2,mer25,42,google/gemma-3-1b-pt,gemma3,1000,2026-04-27T01:39:26.415791Z,2026-04-27T15:47:00.995170Z,completed,configs/methods/mer25.yaml,experiments/runs/gemma3_rq2_mer25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
gemma3_rq2_ewc_s42,RQ2,ewc,42,google/gemma-3-1b-pt,gemma3,1000,2026-04-28T11:45:35.080791Z,2026-04-29T17:00:12.006586Z,completed,configs/methods/ewc.yaml,experiments/runs/gemma3_rq2_ewc_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),EWC analytic-gradient path (per-param loop variant); 29.2h total (A=5.1h B=22.1h); 333 tok/s avg; forgetting 8.85% (best of Gemma3 RQ2: baseline 45.91 / replay25 46.24 / mer25 23.42 / ewc 8.85); ppl_a_after=11.64 ppl_b_after=10.85 lambada=0.453; relaunched after killing prior autograd attempt (54 tok/s 62h projected); prior killed dir at gemma3_rq2_ewc_s42_killed_*
llama3_rq1_baseline_s42,RQ1,baseline,42,meta-llama/Llama-3.2-1B,llama3,1000,2026-02-28T07:06:44.583195Z,2026-02-28T18:57:49.062369Z,completed,configs/methods/baseline.yaml,experiments/runs/llama3_rq1_baseline_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
llama3_rq1_baseline_s123,RQ1,baseline,123,meta-llama/Llama-3.2-1B,llama3,1000,2026-03-10T01:18:32.107502Z,2026-03-10T15:16:40.302007Z,completed,configs/methods/baseline.yaml,experiments/runs/llama3_rq1_baseline_s123/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full MPP planned run
llama3_rq2_replay25_s42,RQ2,replay25,42,meta-llama/Llama-3.2-1B,llama3,1000,2026-04-30T04:46:09.984025Z,2026-04-30T15:43:35.693713Z,completed,configs/methods/replay25.yaml,experiments/runs/llama3_rq2_replay25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Replay 25%; 11.0h (A=4.8h B=5.0h); 568 tok/s; forgetting 47.80% (cross-model: replay25 fails to mitigate at 1B scale -- Gemma3 was 46.24% / GPT-2 was 7.48%); ppl_a_after=15.01 ppl_b_after=9.78 lambada=0.511; high_rep4 anomaly (known threshold issue)
llama3_rq2_mer25_s42,RQ2,mer25,42,meta-llama/Llama-3.2-1B,llama3,1000,2026-05-01T00:03:16.418545Z,2026-05-01T11:59:32.864052Z,completed,configs/methods/mer25.yaml,experiments/runs/llama3_rq2_mer25_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),MER25 (replay+Reptile); 11.9h (A=5.1h B=5.6h); 517 tok/s; forgetting 24.95% (matches Gemma3 mer25 23.42% — MER halves baseline forgetting consistently across 1B models); ppl_a_after=12.68 ppl_b_after=10.54 lambada=0.547; high_rep4 anomaly
llama3_rq2_ewc_s42,RQ2,ewc,42,meta-llama/Llama-3.2-1B,llama3,1000,2026-05-02T03:10:01.468707Z,2026-05-03T16:41:16.142998Z,completed,configs/methods/ewc.yaml,experiments/runs/llama3_rq2_ewc_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),EWC foreach-fused path (feature/ewc-mitigation); 37.5h total (A=4.9h B=31.2h -- two swap-thrash spikes during Domain B); 326 tok/s avg; forgetting 45.07% (NEGATIVE FINDING: EWC fails on Llama3 -- only -1.2pp vs baseline 46.30%); ppl_a_after=14.73 ppl_b_after=9.79 lambada=0.521; high_rep4 anomaly; cross-model context: ewc successful on GPT-2 (-53.6pp) Qwen3 (-31.7pp) Gemma3 (-37.0pp) but fails on Llama3 -- worth ablation; mid-B checkpointing engaged (final theta_AB + step1000 + step1200 retained)
gpt2_smoke_bandit_replay_s1,SMOKE,bandit_replay,1,gpt2,gpt2,124,2026-03-10T03:25:07.670088Z,2026-03-10T03:57:23.791224Z,completed,configs/smoke/bandit_replay_smoke.yaml,experiments/runs/gpt2_smoke_bandit_replay_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
gpt2_smoke_rmgs_s1,SMOKE,rmgs,1,gpt2,gpt2,124,2026-03-10T03:25:07.670088Z,2026-03-10T03:54:02.856382Z,completed,configs/smoke/rmgs_smoke.yaml,experiments/runs/gpt2_smoke_rmgs_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
qwen3_smoke_bandit_replay_s1,SMOKE,bandit_replay,1,Qwen/Qwen3-0.6B,qwen3,600,2026-03-10T16:21:37.676741Z,2026-03-10T16:29:58.139393Z,completed,configs/smoke/bandit_replay_smoke.yaml,experiments/runs/qwen3_smoke_bandit_replay_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test (OOM fixed: probe batch_size 32->1)
qwen3_smoke_rmgs_s1,SMOKE,rmgs,1,Qwen/Qwen3-0.6B,qwen3,600,2026-03-10T16:31:02.198009Z,2026-03-10T16:39:28.537496Z,completed,configs/smoke/rmgs_smoke.yaml,experiments/runs/qwen3_smoke_rmgs_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
gemma3_smoke_bandit_replay_s1,SMOKE,bandit_replay,1,google/gemma-3-1b-pt,gemma3,1000,2026-03-10T16:40:51.269311Z,2026-03-10T16:55:03.719137Z,completed,configs/smoke/bandit_replay_smoke.yaml,experiments/runs/gemma3_smoke_bandit_replay_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
gemma3_smoke_rmgs_s1,SMOKE,rmgs,1,google/gemma-3-1b-pt,gemma3,1000,2026-03-10T17:14:00.806501Z,2026-03-10T17:27:35.360214Z,completed,configs/smoke/rmgs_smoke.yaml,experiments/runs/gemma3_smoke_rmgs_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
llama3_smoke_bandit_replay_s1,SMOKE,bandit_replay,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-03-10T17:27:58.125324Z,2026-03-10T17:38:30.233472Z,completed,configs/smoke/bandit_replay_smoke.yaml,experiments/runs/llama3_smoke_bandit_replay_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
llama3_smoke_rmgs_s1,SMOKE,rmgs,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-03-10T17:38:57.993684Z,2026-03-10T17:49:57.415605Z,completed,configs/smoke/rmgs_smoke.yaml,experiments/runs/llama3_smoke_rmgs_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),RL smoke test
gpt2_rq3_bandit_replay_s42,RQ4,bandit_replay,42,gpt2,gpt2,124,2026-03-10T18:18:36.274690Z,2026-03-11T00:02:12.201773Z,completed,configs/methods/bandit_replay.yaml,experiments/runs/gpt2_rq3_bandit_replay_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),GPT-2 full RQ4 run; forgetting=7.27% (run_id retains historical rq3 prefix)
gpt2_rq3_rmgs_s42,RQ4,rmgs,42,gpt2,gpt2,124,2026-03-10T18:18:38.214593Z,2026-03-11T00:02:16.021561Z,completed,configs/methods/rmgs.yaml,experiments/runs/gpt2_rq3_rmgs_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),GPT-2 full RQ4 run; forgetting=25.02% (run_id retains historical rq3 prefix)
qwen3_rq4_bandit_replay_s42,RQ4,bandit_replay,42,Qwen/Qwen3-0.6B,qwen3,600,2026-05-05T21:20:20.166923Z,2026-05-06T06:07:04.978861Z,completed,configs/methods/bandit_replay.yaml,experiments/runs/qwen3_rq4_bandit_replay_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Bandit_replay (UCB arm selection); 8.78h total (A=3.80h B=3.80h); 730 tok/s (highest yet -- Qwen3 smallest model); forgetting 10.39% (-34.1pp vs baseline 44.52%); ppl_a_after=15.96 ppl_b_after=11.31 lambada=0.353 (-0.022); mean_replay_rate=0.275 (consistent with Gemma3 convergence); no anomalies; bandit_replay beats fixed replay25 (44.30% on Qwen3 -- replay25 also fails on Qwen3) by 33.9pp -- pattern matches Gemma3
qwen3_rq4_rmgs_s42,RQ4,rmgs,42,Qwen/Qwen3-0.6B,qwen3,600,,,pending,configs/methods/rmgs.yaml,experiments/runs/qwen3_rq4_rmgs_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Full RQ4 planned run
gemma3_rq4_bandit_replay_s42,RQ4,bandit_replay,42,google/gemma-3-1b-pt,gemma3,1000,2026-05-05T00:47:58.459876Z,2026-05-05T13:20:25.252971Z,completed,configs/methods/bandit_replay.yaml,experiments/runs/gemma3_rq4_bandit_replay_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Bandit_replay (UCB arm selection over replay/no-replay); 12.5h total (A=4.8h B=5.9h); 522 tok/s; forgetting 30.07% (-15.8pp vs baseline 45.91%); ppl_a_after=13.90 ppl_b_after=10.87 lambada=0.462 (+0.008); mean_replay_rate=0.27 (bandit converged to ~25% replay); no anomalies (rep4 stayed low 0.08 -> 0.07); 2nd-attempt success after prior 2026-05-04 swap-thrash kill (killed dir at gemma3_rq4_bandit_replay_s42_killed_20260504_swap_thrash)
gemma3_rq4_rmgs_s42,RQ4,rmgs,42,google/gemma-3-1b-pt,gemma3,1000,2026-05-07T04:06:22.248355Z,2026-05-07T15:44:03.826694Z,completed,configs/methods/rmgs.yaml,experiments/runs/gemma3_rq4_rmgs_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),RMGS (probe-based grad scaling); 11.63h total (A=4.65h B=5.17h); 567 tok/s; forgetting 17.56% (-28.4pp vs baseline 45.91%); ppl_a_after=12.57 ppl_b_after=12.47 lambada=0.474 (+0.013); mean grad_scale=0.986 (probe loss stable -- minimal throttling); no anomalies; 2nd-best mitigation on Gemma3 behind EWC (8.85%) but at 1/3 the runtime and minimal memory cost
llama3_rq4_bandit_replay_s42,RQ4,bandit_replay,42,meta-llama/Llama-3.2-1B,llama3,1000,2026-05-06T11:55:22.380206Z,2026-05-06T23:04:55.648579Z,completed,configs/methods/bandit_replay.yaml,experiments/runs/llama3_rq4_bandit_replay_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),Bandit_replay (UCB arm selection); 11.16h total (A=4.86h B=5.13h); 556 tok/s; forgetting 23.06% (-23.2pp vs baseline 46.30%); ppl_a_after=12.50 ppl_b_after=9.90 lambada=0.457 (-0.064 regression); mean_replay_rate=0.275 (consistent with Gemma3/Qwen3); no anomalies; bandit_replay 2nd-best on Llama3 behind RMGS (20.78%) -- both rescue Llama3 where EWC failed (45.07%)
llama3_rq4_rmgs_s42,RQ4,rmgs,42,meta-llama/Llama-3.2-1B,llama3,1000,2026-05-04T02:05:39.733606Z,2026-05-04T13:13:26.100414Z,completed,configs/methods/rmgs.yaml,experiments/runs/llama3_rq4_rmgs_s42/metrics.json,drift=v1;quality=v1,A=A-medium(10M);B=B-medium(10M),RMGS (probe-based grad scaling); 11.1h total (A=5.0h B=5.0h); 557 tok/s; forgetting 20.78% (-25.5pp vs baseline 46.30% -- works where EWC failed at -1.2pp); ppl_a_after=12.26 ppl_b_after=11.08 lambada=0.552 (+0.036 vs baseline); mean grad_scale=0.985 (probe loss stable -- minimal throttling); high_rep4 anomaly
llama3_smoke_ewc_foreach_s1,SMOKE,ewc,1,meta-llama/Llama-3.2-1B,llama3,1000,2026-04-30T02:22:00.071662Z,2026-04-30T02:59:56.778733Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/llama3_smoke_ewc_foreach_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),EWC foreach-fused path architecture sanity check (feature/ewc-mitigation); 0.63h (1.7x faster than Feb 12 autograd smoke 1.10h); 304 tok/s; forgetting=-0.31% matches Feb-smoke -0.34%; ppl_a/b within 0.6%; no NaN/anomalies; gradient bit-equivalence to analytic-loop verified; cleared to launch llama3_rq2_ewc_s42
gemma3_smoke_ewc_foreach_s1,SMOKE,ewc,1,google/gemma-3-1b-pt,gemma3,1000,2026-04-29T22:41:57.400894Z,2026-04-29T23:02:07.791618Z,completed,configs/smoke/ewc_smoke.yaml,experiments/runs/gemma3_smoke_ewc_foreach_s1/metrics.json,drift=v1;quality=v1,A=smoke(100k);B=smoke(100k),EWC foreach-fused analytic-grad path verification (feature/ewc-mitigation); 0.34h total -- 7.6x faster than autograd smoke (2.58h); 331 tok/s; gradient bit-equivalence vs analytic-loop verified (max abs diff 0.0); cleared launch of llama3 EWC
